color;density;height;id;image;info;intake_id;is_fire_treaded;is_planed;is_straight;label;length;name;paint;price;project_type;reservation_name;reservation_time;reserved;source;storage_location;timestamp;type;weight;width;wood_id;wood_species;
150,143,116;;20;1;;Twisted;;;;;;1629;;;;;;;;;B5;;;3350;164;;;
176,167,149;;27;2;;Perfect;;;;;;1565;;;;;;;;;B7;;;3650;193;;;
173,159,140;;27;3;;Perfect;;;;;;1894;;;;;;;;;D4;;;5450;193;;;
126,114,91;;10;10;;Perfect;;;;;;1674;;;;;;;;;B4;;;1300;151;;;
183,172,148;;12;12;;Groves;;;;;;2017;;;;;;;;;D2;;;1050;113;;;
152,121,75;;12;14;;Perfect;;;;;;1887;;;;;;;;;D4;;;1000;113;;;
149,131,101;;12;15;;Perfect;;;;;;1886;;;;;;;;;D5;;;1000;113;;;
156,139,109;;12;16;;Perfect;;;;;;1831;;;;;;;;;D7;;;900;113;;;
152,140,124;;12;17;;Groves;;;;;;2017;;;;;;;;;D2;;;1050;113;;;
170,139,97;;12;18;;Perfect;;;;;;1883;;;;;;;;;D5;;;850;113;;;
162,162,152;;12;19;;Perfect;;;;;;1743;;;;;;;;;B2;;;800;113;;;
173,149,114;;12;20;;Perfect;;;;;;1933;;;;;;;;;D3;;;1050;113;;;
144,137,122;;12;21;;Groves;;;;;;1715;;;;;;;;;B2;;;750;113;;;
149,106,61;;28;28;;Twisted;;;;;;1600;;;;;;;;;B6;;;2600;116;;;
157,146,120;;45;32;;Holes;;;;;;1710;;;;;;;;;B2;;;3400;93;;;
140,128,110;;37;33;;Perfect;;;;;;2100;;;;;;;;;D1;;;3100;89;;Fure;
130,95,65;;27;38;;Perfect;;;;;;1670;;;;;;;;;B4;;;1800;89;;;
117,126,78;;17;41;;Perfect;;;;;;1571;;;;;;;;;B7;;;1150;75;;;
155,131,93;;43;42;;Perfect;;;;;;1750;;;;;;;;;B1;;;2700;73;;;
140,99,63;;17;44;;Perfect;;;;;;1569;;;;;;;;;B7;;;1250;73;;;
165,145,117;;49;48;;Perfect;;;;;;1875;;;;;;;;;D5;;;3350;73;;;
162,134,95;;39;50;;Perfect;;;;;;1643;;;;;;;;;B5;;;1750;61;;;
181,167,133;;37;52;;Perfect;;;;;;1617;;;;;;;;;B5;;;1500;59;;;
143,121,81;;17;54;;slighty bended;;;;;;2107;;;;;;;;;D1;;;850;59;;?;
188,178,145;;34;56;;Perfect;;;;;;1987;;;;;;;;;D3;;;1550;55;;;
158,165,158;;29;65;;Perfect;;;;;;1924;;;;;;;;;D3;;;1650;55;;;
172,161,136;;11;67;;Perfect;;;;;;2009;;;;;;;;;D2;;;800;53;;;
160,139,107;;43;73;;Holes;;;;;;1796;;;;;;;;;B1;;;1800;43;;;
185,171,139;;43;74;;perfect;;;;;;1862;;;;;;;;;D6;;;1750;43;;;
164,148,114;;30;75;;Perfect;;;;;;1795;;;;;;;;;B1;;;1450;52;;;
112,79,55;;30;78;;Perfect;;;;;;1570;;;;;;;;;B7;;;1700;50;;;
148,110,76;;30;79;;slighty bended;;;;;;1920;;;;;;;;;D4;;;1250;45;;;
165,147,111;;33;80;;Holes;;;;;;1690;;;;;;;;;B3;;;1000;43;;;
136,112,85;;20;81;;Bended;;;;;;1533;;;;;;;;;;;;750;40;;;
129,105,71;;20;82;;Needs cut;;;;;;1750;;;;;;;;;B1;;;1000;40;;;
161,148,118;;45;88;;Perfect;;;;;;1559;;;;;;;;;B8;;;1300;50;;;
141,114,88;;18;91;;Chamfer;;;;;;1645;;;;;;;;;B5;;;1000;65;;;
140,127,90;;16;94;;Needs Cut;;;;;;1581;;;;;;;;;B7;;;800;54;;;
172,154,132;;22;97;;slighty bended;;;;;;2098;;;;;;;;;D1;;;1700;53;;Maple;
150,101,35;;11;103;;Perfect;;;;;;2064;;;;;;;;;D1;;;450;49;;;
173,153,115;;9;104;;Perfect;;;;;;1681;;;;;;;;;B4;;;400;53;;;
124,100,62;;15;108;;Bended;;;;;;1675;;;;;;;;;B4;;;1350;79;;;
139,104,62;;33;110;;Perfect;;;;;;1600;;;;;;;;;B6;;;850;50;;;
153,123,83;;21;112;;Perfect;;;;;;1566;;;;;;;;;B7;;;850;57;;;
119,83,43;;26;113;;Perfect;;;;;;1866;;;;;;;;;D6;;;950;41;;;
171,165,145;;27;114;;Perfect;;;;;;1777;;;;;;;;;B1;;;1800;57;;;
131,119,83;;50;116;;Perfect;;;;;;1585;;;;;;;;;B6;;;1800;50;;;
162,143,101;;26;129;;Perfect;;;;;;1550;;;;;;;;;;;;1650;46;;;
157,133,100;;13;130;;Perfect;;;;;;2083;;;;;;;;;D1;;;600;39;;?;
119,82,40;;23;133;;Unusable;;;;;;1692;;;;;;;;;B3;;;1400;33;;;
174,155,117;;19;134;;Perfect;;;;;;1689;;;;;;;;;B3;;;900;52;;;
116,78,33;;12;136;;Perfect;;;;;;1684;;;;;;;;;B3;;;750;58;;;
207,169,125;;10;141;;Perfect;;;;;;1875;;;;;;;;;D5;;;550;52;;;
158,140,114;;10;142;;Perfect;;;;;;1965;;;;;;;;;D3;;;400;52;;;
147,127,101;;24;144;;Perfect;;;;;;1930;;;;;;;;;D3;;;1550;54;;;
142,115,83;;11;145;;Needs cut;;;;;;1700;;;;;;;;;B3;;;850;85;;;
