wood_id;storage_location;length;width;height;weight;density;volume;type;info;;color;source
1;A1;1629;164;20;3350;0,000626975;5343120;hardwood;twisted;L;180,160,90;robotlab
2;A1;1565;193;27;3650;0,000447566;8155215;hardwood;;L;180,160,91;robotlab
3;A1;1894;143;43;5450;0,000467964;11646206;hardwood;;L;180,160,92;robotlab
4;A2;925;128;18;1600;0,000750751;2131200;hardwood;live edge;L;180,160,93;robotlab
5;A2;927;127;18;1600;0,00075503;2119122;hardwood;live edge;L;180,160,94;robotlab
6;A2;803;143;43;2300;0,000465809;4937647;hardwood;;L;180,160,95;robotlab
7;A2;799;143;35;1750;0,00043761;3998995;hardwood;holes;L;180,160,96;robotlab
8;A3;943;143;44;2900;0,000488762;5933356;hardwood;;L;180,160,97;robotlab
9;A3;1075;143;43;3050;0,00046141;6610175;hardwood;split;L;180,160,98;robotlab
10;A1;1674;151;10;1300;0,000514293;2527740;hardwood;;L;180,160,99;robotlab
11;A4;1514;113;11;600;0,000318826;1881902;hardwood;met profiel;L;180,160,100;robotlab
12;A4;2017;113;12;1050;0,000383905;2735052;hardwood;met profiel;L;180,160,101;robotlab
13;A3;1427;137;23;1900;0,000422553;4496477;hardwood;;L;180,160,102;robotlab
14;A4;1887;113;12;1000;0,000390812;2558772;hardwood;met profiel;L;180,160,103;robotlab
15;A4;1886;113;12;1000;0,00039102;2557416;hardwood;met profiel;L;180,160,104;robotlab
16;A4;1831;113;12;900;0,000362489;2482836;hardwood;met profiel;L;180,160,105;robotlab
17;A4;2017;113;12;1050;0,000383905;2735052;hardwood;met profiel;L;180,160,106;robotlab
18;A4;1883;113;12;850;0,000332896;2553348;hardwood;met profiel;L;180,160,107;robotlab
19;A4;1743;113;12;800;0,00033848;2363508;hardwood;met profiel;L;180,160,108;robotlab
20;A4;1933;113;12;1050;0,000400588;2621148;hardwood;met profiel;L;180,160,109;robotlab
21;A4;1715;113;12;750;0,000322506;2325540;hardwood;met profiel;L;180,160,110;robotlab
22;A3;1187;134;3;450;0,000943052;477174;hardwood;;L;180,160,111;robotlab
23;A4;1079;113;12;600;0,000410081;1463124;hardwood;met profiel gespleten;L;180,160,112;robotlab
24;A3;1014;135;45;6250;0,001014602;6160050;hardwood;;L;180,160,113;robotlab
25;A4;1165;125;10;700;0,000480687;1456250;hardwood;;L;180,160,114;robotlab
26;A4;1168;126;12;650;0,00036806;1766016;hardwood;;L;180,160,115;robotlab
27;A4;1340;130;34;3800;0,000641588;5922800;hardwood;;L;180,160,116;robotlab
28;A3;1600;116;28;2600;0,000500308;5196800;hardwood;;L;180,160,117;robotlab
29;A5;1395;104;4;300;0,000516956;580320;hardwood;;L;180,160,118;robotlab
30;A5;1800;90;15;800;0,000329218;2430000;hardwood;;L;180,160,119;robotlab
31;A3;1317;116;31;2450;0,000517322;4735932;hardwood;;L;180,160,120;robotlab
32;A5;1710;93;45;3400;0,000475103;7156350;hardwood;;L;180,160,121;robotlab
33;A5;2100;89;37;3100;0,000448281;6915300;hardwood;;L;180,160,122;robotlab
34;A3;799;141;43;2100;0,000433496;4844337;hardwood;spaples and holes;L;180,160,123;robotlab
35;A3;753;115;27;1350;0,000577401;2338065;hardwood;;L;180,160,124;robotlab
36;A5;1165;91;23;1400;0,00057416;2438345;hardwood;;L;180,160,125;robotlab
37;A6;1199;73;43;2500;0,000664247;3763661;hardwood;;L;180,160,126;robotlab
38;A6;1670;89;27;1800;0,000448541;4013010;hardwood;;L;180,160,127;robotlab
39;A6;1290;80;21;1100;0,000507567;2167200;hardwood;;L;180,160,128;robotlab
40;A6;1230;79;19;1350;0,00073122;1846230;hardwood;live edge;L;180,160,129;robotlab
41;A6;1571;75;17;1150;0,000574132;2003025;hardwood;;L;180,160,130;robotlab
42;A6;1750;73;43;2700;0,000491512;5493250;hardwood;;L;180,160,131;robotlab
43;A7;1027;73;23;850;0,000492944;1724333;hardwood;;L;180,160,132;robotlab
44;A7;1569;73;17;1250;0,000641971;1947129;hardwood;;L;180,160,133;robotlab
45;A7;970;73;17;450;0,000373826;1203770;hardwood;;L;180,160,134;robotlab
46;A7;1005;70;43;1450;0,000479331;3025050;hardwood;;L;180,160,135;robotlab
47;A7;1197;73;50;1900;0,000434877;4369050;hardwood;;L;180,160,136;robotlab
48;A7;1875;73;49;3350;0,000499487;6706875;hardwood;;L;180,160,137;robotlab
49;A8;1150;63;9;650;0,000996856;652050;hardwood;Knots and holes;L;180,160,138;robotlab
50;A8;1643;61;39;1750;0,00044772;3908697;hardwood;;L;180,160,139;robotlab
51;A7;839;73;14;300;0,000349871;857458;hardwood;;L;180,160,140;robotlab
52;A8;1617;59;37;1500;0,00042494;3529911;hardwood;;L;180,160,141;robotlab
53;A8;1047;57;20;900;0,000754034;1193580;hardwood;;L;180,160,142;robotlab
54;A8;2107;59;17;850;0,000402211;2113321;hardwood;bent;L;180,160,143;robotlab
55;A8;1909;61;21;1900;0,00077696;2445429;hardwood;;L;180,160,144;robotlab
56;A8;1987;55;34;1550;0,00041715;3715690;hardwood;;L;180,160,145;robotlab
57;A7;874;71;43;1450;0,000543413;2668322;hardwood;;L;180,160,146;robotlab
58;A7;875;71;43;1450;0,000542792;2671375;hardwood;;L;180,160,147;robotlab
59;A6;919;73;41;1350;0,000490808;2750567;hardwood;;L;180,160,148;robotlab
60;A6;810;73;37;1200;0,000548494;2187810;hardwood;;L;180,160,149;robotlab
61;A8;1000;56;65;2000;0,000549451;3640000;hardwood;;L;180,160,150;robotlab
62;A9;1220;59;53;1450;0,000380085;3814940;hardwood;;L;180,160,151;robotlab
63;A9;1000;65;65;1850;0,00043787;4225000;hardwood;;L;180,160,152;robotlab
64;A5;1210;101;37;2700;0,000597111;4521770;hardwood;;L;180,160,153;robotlab
65;A9;1924;55;29;1650;0,000537673;3068780;hardwood;;L;180,160,154;robotlab
66;A9;1424;54;23;1400;0,000791583;1768608;hardwood;;L;180,160,155;robotlab
67;A9;2009;53;11;800;0,000683033;1171247;hardwood;;L;180,160,156;robotlab
68;A9;1439;50;11;500;0,000631752;791450;hardwood;;L;180,160,157;robotlab
69;A9;825;49;36;1000;0,000687144;1455300;hardwood;;L;180,160,158;robotlab
70;A9;1788;78;15;1550;0,000740932;2091960;hardwood;split;L;180,160,159;robotlab
71;A9;1154;50;33;700;0,000367628;1904100;hardwood;;L;180,160,160;robotlab
72;A9;1400;44;44;1150;0,000424292;2710400;hardwood;;L;180,160,161;robotlab
73;A9;1796;43;43;1800;0,000542037;3320804;hardwood;;L;180,160,162;robotlab
74;A9;1862;43;43;1750;0,000508302;3442838;hardwood;;L;180,160,163;robotlab
75;A9;1795;52;30;1450;0,00051782;2800200;hardwood;;L;180,160,164;robotlab
76;A9;1425;54;16;750;0,000609162;1231200;hardwood;;L;180,160,165;robotlab
77;A6;1043;79;21;800;0,000462338;1730337;hardwood;;L;180,160,166;robotlab
78;A9;1570;50;30;1700;0,000721868;2355000;hardwood;;L;180,160,167;robotlab
79;A9;1920;45;30;1250;0,000482253;2592000;hardwood;;L;180,160,168;robotlab
80;A10;1690;43;33;1000;0,000416995;2398110;hardwood;;L;180,160,169;robotlab
82;A10;1750;40;20;1000;0,000714286;1400000;hardwood;;L;180,160,170;robotlab
83;A3;825;100;20;950;0,000575758;1650000;hardwood;;L;180,160,171;robotlab
84;A8;1410;55;55;3700;0,000867476;4265250;hardwood;;L;180,160,172;robotlab
85;A8;1005;70;45;1600;0,000505409;3165750;hardwood;;L;180,160,173;robotlab
86;A5;1794;90;26;1800;0,00042878;4197960;hardwood;;L;180,160,174;robotlab
87;A7;1073;72;23;900;0,000506504;1776888;hardwood;;L;180,160,175;robotlab
88;A10;1559;50;45;1300;0,000370608;3507750;hardwood;;L;180,160,176;robotlab
89;A10;1077;63;24;900;0,000552682;1628424;hardwood;;L;180,160,177;robotlab
90;A10;1244;44;33;900;0,000498259;1806288;hardwood;;L;180,160,178;robotlab
91;A10;1645;65;18;1000;0,000519575;1924650;hardwood;;L;180,160,179;robotlab
92;A10;1205;50;11;350;0,000528103;662750;hardwood;;L;180,160,180;robotlab
93;A10;1074;56;20;850;0,000706637;1202880;hardwood;;L;180,160,181;robotlab
94;A10;1581;54;16;800;0,000585658;1365984;hardwood;;L;180,160,182;robotlab
95;A10;1491;54;16;800;0,00062101;1288224;hardwood;;L;180,160,183;robotlab
96;A10;1488;52;18;950;0,000682095;1392768;hardwood;;L;180,160,184;robotlab
97;A10;2098;53;22;1700;0,000694936;2446268;hardwood;;L;180,160,185;robotlab
98;A10;1440;44;35;1000;0,000450938;2217600;hardwood;;L;180,160,186;robotlab
99;A10;1020;85;26;850;0,000377074;2254200;hardwood;;L;180,160,187;robotlab
100;A10;931;70;14;300;0,00032881;912380;hardwood;;L;180,160,188;robotlab
101;A10;1354;41;35;1300;0,000669072;1942990;hardwood;;L;180,160,189;robotlab
102;A10;1433;49;17;750;0,000628304;1193689;hardwood;;L;180,160,190;robotlab
103;A11;2064;49;11;450;0,000404496;1112496;hardwood;;L;180,160,191;robotlab
104;A11;1681;53;9;400;0,000498855;801837;hardwood;;L;180,160,192;robotlab
105;A11;1153;43;31;900;0,000585576;1536949;hardwood;;L;180,160,193;robotlab
106;A11;917;43;31;550;0,000449949;1222361;hardwood;;L;180,160,194;robotlab
107;A11;1507;71;3;250;0,000778838;320991;hardwood;;L;180,160,195;robotlab
108;A11;1675;79;15;1350;0,000680144;1984875;hardwood;;L;180,160,196;robotlab
109;A11;1104;64;24;900;0,00053074;1695744;hardwood;;L;180,160,197;robotlab
110;A11;1600;50;33;850;0,00032197;2640000;hardwood;;L;180,160,198;robotlab
111;A11;863;43;32;700;0,00058948;1187488;hardwood;;L;180,160,199;robotlab
112;A11;1566;57;21;850;0,000453454;1874502;hardwood;;L;180,160,200;robotlab
113;A11;1866;41;26;950;0,000477589;1989156;hardwood;;L;180,160,201;robotlab
114;A11;1777;57;27;1800;0,000658183;2734803;hardwood;;L;180,160,202;robotlab
115;A11;1286;43;32;1000;0,00056512;1769536;hardwood;;L;180,160,203;robotlab
116;A12;1585;50;50;1800;0,000454259;3962500;hardwood;;L;180,160,204;robotlab
117;A12;1170;55;20;850;0,000660451;1287000;hardwood;;L;180,160,205;robotlab
118;A12;1303;40;25;550;0,000422103;1303000;hardwood;;L;180,160,206;robotlab
119;A12;1070;52;40;1300;0,000584112;2225600;hardwood;;L;180,160,207;robotlab
120;A12;1492;35;35;1050;0,000574493;1827700;hardwood;;L;180,160,208;robotlab
121;A12;970;66;18;500;0,000433892;1152360;hardwood;;L;180,160,209;robotlab
122;A12;1150;46;24;700;0,000551355;1269600;hardwood;;L;180,160,210;robotlab
123;A12;1217;74;19;600;0,000350651;1711102;hardwood;;L;180,160,211;robotlab
124;A12;1010;34;27;500;0,00053927;927180;hardwood;;L;180,160,212;robotlab
125;A12;1050;34;30;650;0,000606909;1071000;hardwood;;L;180,160,213;robotlab
126;A12;1133;35;30;700;0,000588408;1189650;hardwood;;L;180,160,214;robotlab
