color;density;height;id;image;info;intake_id;is_fire_treated;is_planed;is_straight;label;length;name;paint;price;project_type;reservation_name;reservation_time;reserved;source;storage_location;timestamp;type;weight;width;wood_id;wood_species
150,143,116;626;20.0;1;/path/to/image.jpg;Twisted;1.0;FALSE;TRUE;TRUE;;1629;Red oak FSC;;0.0;;;;FALSE;HvA Jakoba Mulderhuis (JMH);B5;10/10/2023 10:40;hardwood;3350;164;;
176,167,149;447;27.0;2;/path/to/image.jpg;Perfect;1.0;FALSE;TRUE;TRUE;;1565;Red oak FSC;;0.0;;;;FALSE;HvA Jakoba Mulderhuis (JMH);B7;10/10/2023 10:40;hardwood;3650;193;;
173,159,140;552;27.0;3;/path/to/image.jpg;Perfect;1.0;FALSE;TRUE;TRUE;;1894;Red oak FSC;;0.0;;;;FALSE;HvA Jakoba Mulderhuis (JMH);D4;10/10/2023 10:40;hardwood;5450;193;;
140,115,89;750;18.0;4;/path/to/image.jpg;Damaged;1.0;FALSE;TRUE;TRUE;;925;Red oak FSC;;0.0;;;;FALSE;HvA Jakoba Mulderhuis (JMH);C10;10/10/2023 10:40;hardwood;1600;128;;
167,158,145;461;43.0;9;/path/to/image.jpg;Perfect;1.0;FALSE;TRUE;TRUE;;1075;Red oak FSC;;0.0;;;;FALSE;HvA Jakoba Mulderhuis (JMH);C4;10/10/2023 10:40;hardwood;3050;143;;
126,114,91;514;10.0;10;/path/to/image.jpg;Perfect;1.0;FALSE;TRUE;TRUE;;1674;Red oak FSC;;0.0;;;;FALSE;HvA Jakoba Mulderhuis (JMH);B4;10/10/2023 10:40;hardwood;1300;151;;
159,151,132;318;11.0;11;/path/to/image.jpg;Grove;1.0;FALSE;TRUE;TRUE;;1514;Red oak FSC;;0.0;;;;FALSE;HvA Jakoba Mulderhuis (JMH);;10/10/2023 10:40;hardwood;600;113;;
183,172,148;383;12.0;12;/path/to/image.jpg;Groves;1.0;FALSE;TRUE;TRUE;;2017;Red oak FSC;;0.0;;;;FALSE;HvA Jakoba Mulderhuis (JMH);D2;10/10/2023 10:40;hardwood;1050;113;;
168, 169, 163;422;23.0;13;/path/to/image.jpg;Cracked;1.0;FALSE;TRUE;TRUE;;1427;Red oak FSC;;0.0;;;;FALSE;HvA Jakoba Mulderhuis (JMH);A2;10/10/2023 10:40;hardwood;1900;137;;
152,121,75;390;12.0;14;/path/to/image.jpg;Perfect;1.0;FALSE;TRUE;TRUE;;1887;Red oak FSC;;0.0;;;;FALSE;HvA Jakoba Mulderhuis (JMH);D4;10/10/2023 10:40;hardwood;1000;113;;
149,131,101;391;12.0;15;/path/to/image.jpg;Perfect;1.0;FALSE;TRUE;TRUE;;1886;Red oak FSC;;0.0;;;;FALSE;HvA Jakoba Mulderhuis (JMH);D5;10/10/2023 10:40;hardwood;1000;113;;
156,139,109;362;12.0;16;/path/to/image.jpg;Perfect;1.0;FALSE;TRUE;TRUE;;1831;Red oak FSC;;0.0;;;;FALSE;HvA Jakoba Mulderhuis (JMH);D7;10/10/2023 10:40;hardwood;900;113;;
152,140,124;383;12.0;17;/path/to/image.jpg;Groves;1.0;FALSE;TRUE;TRUE;;2017;Red oak FSC;;0.0;;;;FALSE;HvA Jakoba Mulderhuis (JMH);D2;10/10/2023 10:40;hardwood;1050;113;;
170,139,97;332;12.0;18;/path/to/image.jpg;Perfect;1.0;FALSE;TRUE;TRUE;;1883;Red oak FSC;;0.0;;;;FALSE;HvA Jakoba Mulderhuis (JMH);D5;10/10/2023 10:40;hardwood;850;113;;
162,162,152;338;12.0;19;/path/to/image.jpg;Perfect;1.0;FALSE;TRUE;TRUE;;1743;Red oak FSC;;0.0;;;;FALSE;HvA Jakoba Mulderhuis (JMH);B2;10/10/2023 10:40;hardwood;800;113;;
173,149,114;400;12.0;20;/path/to/image.jpg;Perfect;1.0;FALSE;TRUE;TRUE;;1933;Red oak FSC;;0.0;;;;FALSE;HvA Jakoba Mulderhuis (JMH);D3;10/10/2023 10:40;hardwood;1050;113;;
144,137,122;322;12.0;21;/path/to/image.jpg;Groves;1.0;FALSE;TRUE;TRUE;;1715;Red oak FSC;;0.0;;;;FALSE;HvA Jakoba Mulderhuis (JMH);B2;10/10/2023 10:40;hardwood;750;113;;
